condition,N,treatment,placement,repeat,iters,n_access,base_cyc,base_ns,base_cyc_iter,base_ns_iter,base_cyc_op,base_gate
hit,4,dmb_st,after_every,4,1000000,4000000,12139793,3778144,12.140,3.778,3.0349,PASS
hit,4,dmb_st,after_every,5,1000000,4000000,12108950,3768288,12.109,3.768,3.0272,PASS
hit,4,dmb_st,after_every,6,1000000,4000000,12124039,3773504,12.124,3.774,3.0310,PASS
hit,4,dmb_st,after_every,7,1000000,4000000,12144715,3778368,12.145,3.778,3.0362,PASS
hit,4,dmb_st,after_every,8,1000000,4000000,12172369,3835712,12.172,3.836,3.0431,PASS
hit,4,dmb_st,after_every,9,1000000,4000000,12229363,3809024,12.229,3.809,3.0573,PASS
hit,4,dmb_st,after_group,0,1000000,4000000,12134693,3788512,12.135,3.789,3.0337,PASS
hit,4,dmb_st,after_group,1,1000000,4000000,12151001,3797952,12.151,3.798,3.0378,PASS
hit,4,dmb_st,after_group,2,1000000,4000000,12165156,3836640,12.165,3.837,3.0413,PASS
hit,4,dmb_st,after_group,3,1000000,4000000,12152876,3785536,12.153,3.786,3.0382,PASS
hit,4,dmb_st,after_group,4,1000000,4000000,12080878,3760768,12.081,3.761,3.0202,PASS
hit,4,dmb_st,after_group,5,1000000,4000000,12112518,3769888,12.113,3.770,3.0281,PASS
hit,4,dmb_st,after_group,6,1000000,4000000,12195571,3796256,12.196,3.796,3.0489,PASS
hit,4,dmb_st,after_group,7,1000000,4000000,12117068,3771552,12.117,3.772,3.0293,PASS
hit,4,dmb_st,after_group,8,1000000,4000000,12171644,3788864,12.172,3.789,3.0429,PASS
hit,4,dmb_st,after_group,9,1000000,4000000,12133386,3777280,12.133,3.777,3.0333,PASS
hit,4,dmb_sy,after_every,0,1000000,4000000,12168875,3790592,12.169,3.791,3.0422,PASS
hit,4,dmb_sy,after_every,1,1000000,4000000,12159079,3783232,12.159,3.783,3.0398,PASS
hit,4,dmb_sy,after_every,2,1000000,4000000,12196368,3795712,12.196,3.796,3.0491,PASS
hit,4,dmb_sy,after_every,3,1000000,4000000,12152596,3782528,12.153,3.783,3.0381,PASS
hit,4,dmb_sy,after_every,4,1000000,4000000,12138216,3776512,12.138,3.777,3.0346,PASS
hit,4,dmb_sy,after_every,5,1000000,4000000,12128715,3784416,12.129,3.784,3.0322,PASS
